Date,Country,Cumulative number of case(s),Number of deaths,Number recovered,type
6/6/2003,France,7,0,6,sars
6/6/2003,Germany,10,0,9,sars
6/6/2003,India,3,0,3,sars
6/6/2003,Indonesia,2,0,2,sars
6/6/2003,Italy,9,0,9,sars
6/6/2003,Kuwait,1,0,1,sars
6/6/2003,Malaysia,5,2,3,sars
6/6/2003,Mongolia,9,0,9,sars
6/6/2003,New Zealand,1,0,1,sars
6/6/2003,Philippines,12,2,10,sars
6/6/2003,Republic of Ireland,1,0,1,sars
6/6/2003,Republic of Korea,3,0,3,sars
6/6/2003,Romania,1,0,1,sars
6/6/2003,Russian Federation,1,0,0,sars
6/6/2003,Singapore,206,31,165,sars
6/6/2003,South Africa,1,1,0,sars
6/6/2003,Spain,1,0,1,sars
6/6/2003,Sweden,3,0,3,sars
6/6/2003,Switzerland,1,0,1,sars
6/6/2003,Thailand,8,2,6,sars
6/6/2003,United Kingdom,4,0,4,sars
6/6/2003,United States,68,0,35,sars
6/6/2003,Viet Nam,63,5,58,sars
6/9/2003,Brazil,2,0,2,sars
6/9/2003,Canada,229,32,128,sars
6/9/2003,China,5328,340,4186,sars
6/9/2003,"Hong Kong SAR, China",1753,288,1365,sars
6/9/2003,"Macao SAR, China",1,0,1,sars
6/9/2003,"Taiwan, China",680,81,257,sars
6/9/2003,Colombia,1,0,1,sars
6/9/2003,Finland,1,0,1,sars
6/9/2003,France,7,0,6,sars
6/9/2003,Germany,10,0,9,sars
6/9/2003,India,3,0,3,sars
6/9/2003,Indonesia,2,0,2,sars
6/9/2003,Italy,9,0,9,sars
6/9/2003,Kuwait,1,0,1,sars
6/9/2003,Malaysia,5,2,3,sars
6/9/2003,Mongolia,9,0,9,sars
6/9/2003,New Zealand,1,0,1,sars
6/9/2003,Philippines,12,2,10,sars
6/9/2003,Republic of Ireland,1,0,1,sars
6/9/2003,Republic of Korea,3,0,3,sars
6/9/2003,Romania,1,0,1,sars
6/9/2003,Russian Federation,1,0,0,sars
6/9/2003,Singapore,206,31,168,sars
6/9/2003,South Africa,1,1,0,sars
6/9/2003,Spain,1,0,1,sars
6/9/2003,Sweden,3,0,3,sars
6/9/2003,Switzerland,1,0,1,sars
6/9/2003,Thailand,9,2,6,sars
6/9/2003,United Kingdom,4,0,4,sars
6/9/2003,United States,68,0,35,sars
6/9/2003,Viet Nam,63,5,58,sars
6/10/2003,Brazil,3,0,2,sars
6/10/2003,Canada,229,32,131,sars
6/10/2003,China,5328,343,4294,sars
6/10/2003,"Hong Kong SAR, China",1754,290,1368,sars
6/10/2003,"Macao SAR, China",1,0,1,sars
6/10/2003,"Taiwan, China",686,81,319,sars
6/10/2003,Colombia,1,0,1,sars
6/10/2003,Finland,1,0,1,sars
6/10/2003,France,7,0,6,sars
6/10/2003,Germany,10,0,9,sars
6/10/2003,India,3,0,3,sars
6/10/2003,Indonesia,2,0,2,sars
6/10/2003,Italy,9,0,9,sars
6/10/2003,Kuwait,1,0,1,sars
6/10/2003,Malaysia,5,2,3,sars
6/10/2003,Mongolia,9,0,9,sars
6/10/2003,New Zealand,1,0,1,sars
6/10/2003,Philippines,12,2,10,sars
6/10/2003,Republic of Ireland,1,0,1,sars
6/10/2003,Republic of Korea,3,0,3,sars
6/10/2003,Romania,1,0,1,sars
6/10/2003,Russian Federation,1,0,0,sars
6/10/2003,Singapore,206,31,168,sars
6/10/2003,South Africa,1,1,0,sars
6/10/2003,Spain,1,0,1,sars
6/10/2003,Sweden,3,0,3,sars
6/10/2003,Switzerland,1,0,1,sars
6/10/2003,Thailand,9,2,6,sars
6/10/2003,United Kingdom,4,0,4,sars
6/10/2003,United States,69,0,36,sars
6/10/2003,Viet Nam,63,5,58,sars
6/11/2003,Brazil,3,0,2,sars
6/11/2003,Canada,230,32,134,sars
6/11/2003,China,5329,343,4390,sars
6/11/2003,"Hong Kong SAR, China",1754,290,1368,sars
6/11/2003,"Macao SAR, China",1,0,1,sars
6/11/2003,"Taiwan, China",687,81,344,sars
6/11/2003,Colombia,1,0,1,sars
6/11/2003,Finland,1,0,1,sars
6/11/2003,France,7,0,6,sars
6/11/2003,Germany,10,0,9,sars
6/11/2003,India,3,0,3,sars
6/11/2003,Indonesia,2,0,2,sars
6/11/2003,Italy,9,0,9,sars
6/11/2003,Kuwait,1,0,1,sars
6/11/2003,Malaysia,5,2,3,sars
6/11/2003,Mongolia,9,0,9,sars
6/11/2003,New Zealand,1,0,1,sars
6/11/2003,Philippines,12,2,10,sars
6/11/2003,Republic of Ireland,1,0,1,sars
6/11/2003,Republic of Korea,3,0,3,sars
6/11/2003,Romania,1,0,1,sars
6/11/2003,Russian Federation,1,0,0,sars
6/11/2003,Singapore,206,31,168,sars
6/11/2003,South Africa,1,1,0,sars
6/11/2003,Spain,1,0,1,sars
6/11/2003,Sweden,3,0,3,sars
6/11/2003,Switzerland,1,0,1,sars
6/11/2003,Thailand,9,2,6,sars
6/11/2003,United Kingdom,4,0,4,sars
6/11/2003,United States,71,0,36,sars
6/11/2003,Viet Nam,63,5,58,sars
6/12/2003,Brazil,3,0,2,sars
6/12/2003,Canada,238,32,141,sars
6/12/2003,China,5328,343,4457,sars
6/12/2003,"Hong Kong SAR, China",1755,291,1377,sars
6/12/2003,"Macao SAR, China",1,0,1,sars
6/12/2003,"Taiwan, China",688,81,347,sars
6/12/2003,Colombia,1,0,1,sars
6/12/2003,Finland,1,0,1,sars
6/12/2003,France,7,0,6,sars
6/12/2003,Germany,10,0,9,sars
6/12/2003,India,3,0,3,sars
6/12/2003,Indonesia,2,0,2,sars
6/12/2003,Italy,9,0,9,sars
6/12/2003,Kuwait,1,0,1,sars
6/12/2003,Malaysia,5,2,3,sars
6/12/2003,Mongolia,9,0,9,sars
6/12/2003,New Zealand,1,0,1,sars
6/12/2003,Philippines,14,2,12,sars
6/12/2003,Republic of Ireland,1,0,1,sars
6/12/2003,Republic of Korea,3,0,3,sars
6/12/2003,Romania,1,0,1,sars
6/12/2003,Russian Federation,1,0,0,sars
6/12/2003,Singapore,206,31,169,sars
6/12/2003,South Africa,1,1,0,sars
6/12/2003,Spain,1,0,1,sars
6/12/2003,Sweden,3,0,3,sars
6/12/2003,Switzerland,1,0,1,sars
6/12/2003,Thailand,9,2,6,sars
6/12/2003,United Kingdom,4,0,4,sars
6/12/2003,United States,70,0,36,sars
6/12/2003,Viet Nam,63,5,58,sars
6/13/2003,Brazil,3,0,2,sars
6/13/2003,Canada,242,32,150,sars
6/13/2003,China,5327,343,4530,sars
6/13/2003,"Hong Kong SAR, China",1755,293,1380,sars
6/13/2003,"Macao SAR, China",1,0,1,sars
6/13/2003,"Taiwan, China",693,81,385,sars
6/13/2003,Colombia,1,0,1,sars
6/13/2003,Finland,1,0,1,sars
6/13/2003,France,7,0,6,sars
6/13/2003,Germany,10,0,9,sars
6/13/2003,India,3,0,3,sars
6/13/2003,Indonesia,2,0,2,sars
6/13/2003,Italy,9,0,9,sars
6/13/2003,Kuwait,1,0,1,sars
6/13/2003,Malaysia,5,2,3,sars
6/13/2003,Mongolia,9,0,9,sars
6/13/2003,New Zealand,1,0,1,sars
6/13/2003,Philippines,14,2,12,sars
6/13/2003,Republic of Ireland,1,0,1,sars
6/13/2003,Republic of Korea,3,0,3,sars
6/13/2003,Romania,1,0,1,sars
6/13/2003,Russian Federation,1,0,0,sars
6/13/2003,Singapore,206,31,169,sars
6/13/2003,South Africa,1,1,0,sars
6/13/2003,Spain,1,0,1,sars
6/13/2003,Sweden,3,0,3,sars
6/13/2003,Switzerland,1,0,1,sars
6/13/2003,Thailand,9,2,6,sars
6/13/2003,United Kingdom,4,0,4,sars
6/13/2003,United States,71,0,36,sars
6/13/2003,Viet Nam,63,5,58,sars
6/16/2003,Brazil,3,0,2,sars
6/16/2003,Canada,243,32,156,sars
6/16/2003,China,5326,346,4656,sars
6/16/2003,"Hong Kong SAR, China",1755,295,1386,sars
6/16/2003,"Macao SAR, China",1,0,1,sars
6/16/2003,"Taiwan, China",698,83,443,sars
6/16/2003,Colombia,1,0,1,sars
6/16/2003,Finland,1,0,1,sars
6/16/2003,France,7,0,6,sars
6/16/2003,Germany,10,0,9,sars
6/16/2003,India,3,0,3,sars
6/16/2003,Indonesia,2,0,2,sars
6/16/2003,Italy,9,0,9,sars
6/16/2003,Kuwait,1,0,1,sars
6/16/2003,Malaysia,5,2,3,sars
6/16/2003,Mongolia,9,0,9,sars
6/16/2003,New Zealand,1,0,1,sars
6/16/2003,Philippines,14,2,12,sars
6/16/2003,Republic of Ireland,1,0,1,sars
6/16/2003,Republic of Korea,3,0,3,sars
6/16/2003,Romania,1,0,1,sars
6/16/2003,Russian Federation,1,0,0,sars
6/16/2003,Singapore,206,31,169,sars
6/16/2003,South Africa,1,1,0,sars
6/16/2003,Spain,1,0,1,sars
6/16/2003,Sweden,3,0,3,sars
6/16/2003,Switzerland,1,0,1,sars
6/16/2003,Thailand,9,2,6,sars
6/16/2003,United Kingdom,4,0,4,sars
6/16/2003,United States,72,0,36,sars
6/16/2003,Viet Nam,63,5,58,sars
6/17/2003,Brazil,3,0,2,sars
6/17/2003,Canada,247,32,171,sars
6/17/2003,China,5326,346,4725,sars
6/17/2003,"Hong Kong SAR, China",1755,295,1387,sars
6/17/2003,"Macao SAR, China",1,0,1,sars
6/17/2003,"Taiwan, China",697,83,460,sars
6/17/2003,Colombia,1,0,1,sars
6/17/2003,Finland,1,0,1,sars
6/17/2003,France,7,0,6,sars
6/17/2003,Germany,10,0,9,sars
6/17/2003,India,3,0,3,sars
6/17/2003,Indonesia,2,0,2,sars
6/17/2003,Italy,9,0,9,sars
6/17/2003,Kuwait,1,0,1,sars
6/17/2003,Malaysia,5,2,3,sars
6/17/2003,Mongolia,9,0,9,sars
6/17/2003,New Zealand,1,0,1,sars
6/17/2003,Philippines,14,2,12,sars
6/17/2003,Republic of Ireland,1,0,1,sars
6/17/2003,Republic of Korea,3,0,3,sars
6/17/2003,Romania,1,0,1,sars
6/17/2003,Russian Federation,1,0,0,sars
6/17/2003,Singapore,206,31,169,sars
6/17/2003,South Africa,1,1,0,sars
6/17/2003,Spain,1,0,1,sars
6/17/2003,Sweden,3,0,3,sars
6/17/2003,Switzerland,1,0,1,sars
6/17/2003,Thailand,9,2,6,sars
6/17/2003,United Kingdom,4,0,4,sars
6/17/2003,United States,73,0,36,sars
6/17/2003,Viet Nam,63,5,58,sars
6/18/2003,Brazil,3,0,2,sars
6/18/2003,Canada,246,33,176,sars
6/18/2003,China,5326,347,4762,sars
6/18/2003,"Hong Kong SAR, China",1755,295,1393,sars
6/18/2003,"Macao SAR, China",1,0,1,sars
6/18/2003,"Taiwan, China",697,83,469,sars
6/18/2003,Colombia,1,0,1,sars
6/18/2003,Finland,1,0,1,sars
6/18/2003,France,7,0,6,sars
6/18/2003,Germany,10,0,9,sars
6/18/2003,India,3,0,3,sars
6/18/2003,Indonesia,2,0,2,sars
6/18/2003,Italy,9,0,9,sars
6/18/2003,Kuwait,1,0,1,sars
6/18/2003,Malaysia,5,2,3,sars
6/18/2003,Mongolia,9,0,9,sars
6/18/2003,New Zealand,1,0,1,sars
6/18/2003,Philippines,14,2,12,sars
6/18/2003,Republic of Ireland,1,0,1,sars
6/18/2003,Republic of Korea,3,0,3,sars
6/18/2003,Romania,1,0,1,sars
6/18/2003,Russian Federation,1,0,0,sars
6/18/2003,Singapore,206,31,169,sars
6/18/2003,South Africa,1,1,0,sars
6/18/2003,Spain,1,0,1,sars
6/18/2003,Sweden,3,0,3,sars
6/18/2003,Switzerland,1,0,1,sars
6/18/2003,Thailand,9,2,6,sars
6/18/2003,United Kingdom,4,0,4,sars
6/18/2003,United States,75,0,36,sars
6/18/2003,Viet Nam,63,5,58,sars
6/19/2003,Brazil,3,0,2,sars
6/19/2003,Canada,245,34,175,sars
6/19/2003,China,5326,347,4786,sars
6/19/2003,"Hong Kong SAR, China",1755,296,1396,sars
6/19/2003,"Macao SAR, China",1,0,1,sars
6/19/2003,"Taiwan, China",695,84,472,sars
6/19/2003,Colombia,1,0,1,sars
6/19/2003,Finland,1,0,1,sars
6/19/2003,France,7,0,6,sars
6/19/2003,Germany,10,0,9,sars
6/19/2003,India,3,0,3,sars
6/19/2003,Indonesia,2,0,2,sars
6/19/2003,Italy,9,0,9,sars
6/19/2003,Kuwait,1,0,1,sars
6/19/2003,Malaysia,5,2,3,sars
6/19/2003,Mongolia,9,0,9,sars
6/19/2003,New Zealand,1,0,1,sars
6/19/2003,Philippines,14,2,12,sars
6/19/2003,Republic of Ireland,1,0,1,sars
6/19/2003,Republic of Korea,3,0,3,sars
6/19/2003,Romania,1,0,1,sars
6/19/2003,Russian Federation,1,0,0,sars
6/19/2003,Singapore,206,31,170,sars
6/19/2003,South Africa,1,1,0,sars
6/19/2003,Spain,1,0,1,sars
6/19/2003,Sweden,3,0,3,sars
6/19/2003,Switzerland,1,0,1,sars
6/19/2003,Thailand,9,2,6,sars
6/19/2003,United Kingdom,4,0,4,sars
6/19/2003,United States,75,0,36,sars
6/19/2003,Viet Nam,63,5,58,sars
6/20/2003,Brazil,3,0,2,sars
6/20/2003,Canada,245,34,180,sars
6/20/2003,China,5326,347,4806,sars
6/20/2003,"Hong Kong SAR, China",1755,296,1403,sars
6/20/2003,"Macao SAR, China",1,0,1,sars
6/20/2003,"Taiwan, China",695,84,480,sars
6/20/2003,Colombia,1,0,1,sars
6/20/2003,Finland,1,0,1,sars
6/20/2003,France,7,0,6,sars
6/20/2003,Germany,10,0,9,sars
6/20/2003,India,3,0,3,sars
6/20/2003,Indonesia,2,0,2,sars
6/20/2003,Italy,9,0,9,sars
6/20/2003,Kuwait,1,0,1,sars
6/20/2003,Malaysia,5,2,3,sars
6/20/2003,Mongolia,9,0,9,sars
6/20/2003,New Zealand,1,0,1,sars
6/20/2003,Philippines,14,2,12,sars
6/20/2003,Republic of Ireland,1,0,1,sars
6/20/2003,Republic of Korea,3,0,3,sars
6/20/2003,Romania,1,0,1,sars
6/20/2003,Russian Federation,1,0,0,sars
6/20/2003,Singapore,206,31,170,sars
6/20/2003,South Africa,1,1,0,sars
6/20/2003,Spain,1,0,1,sars
6/20/2003,Sweden,3,0,3,sars
6/20/2003,Switzerland,1,0,1,sars
6/20/2003,Thailand,9,2,6,sars
6/20/2003,United Kingdom,4,0,4,sars
6/20/2003,United States,74,0,36,sars
6/20/2003,Viet Nam,63,5,58,sars
6/23/2003,Brazil,3,0,2,sars
6/23/2003,Canada,246,35,182,sars
6/23/2003,China,5326,347,4895,sars
6/23/2003,"Hong Kong SAR, China",1755,296,1411,sars
6/23/2003,"Macao SAR, China",1,0,1,sars
6/23/2003,"Taiwan, China",692,84,486,sars
6/23/2003,Colombia,1,0,1,sars
6/23/2003,Finland,1,0,1,sars
6/23/2003,France,7,0,6,sars
6/23/2003,Germany,10,0,9,sars
6/23/2003,India,3,0,3,sars
6/23/2003,Indonesia,2,0,2,sars
6/23/2003,Italy,9,0,9,sars
6/23/2003,Kuwait,1,0,1,sars
6/23/2003,Malaysia,5,2,3,sars
6/23/2003,Mongolia,9,0,9,sars
6/23/2003,New Zealand,1,0,1,sars
6/23/2003,Philippines,14,2,12,sars
6/23/2003,Republic of Ireland,1,0,1,sars
6/23/2003,Republic of Korea,3,0,3,sars
6/23/2003,Romania,1,0,1,sars
6/23/2003,Russian Federation,1,0,0,sars
6/23/2003,Singapore,206,31,170,sars
6/23/2003,South Africa,1,1,0,sars
6/23/2003,Spain,1,0,1,sars
6/23/2003,Sweden,3,0,3,sars
6/23/2003,Switzerland,1,0,1,sars
6/23/2003,Thailand,9,2,7,sars
6/23/2003,United Kingdom,4,0,4,sars
6/23/2003,United States,74,0,36,sars
6/23/2003,Viet Nam,63,5,58,sars
6/24/2003,Brazil,3,0,2,sars
6/24/2003,Canada,249,37,188,sars
6/24/2003,China,5326,347,4901,sars
6/24/2003,"Hong Kong SAR, China",1755,296,1417,sars
6/24/2003,"Macao SAR, China",1,0,1,sars
6/24/2003,"Taiwan, China",687,84,492,sars
6/24/2003,Colombia,1,0,1,sars
6/24/2003,Finland,1,0,1,sars
6/24/2003,France,7,0,6,sars
6/24/2003,Germany,10,0,9,sars
6/24/2003,India,3,0,3,sars
6/24/2003,Indonesia,2,0,2,sars
6/24/2003,Italy,9,0,9,sars
6/24/2003,Kuwait,1,0,1,sars
6/24/2003,Malaysia,5,2,3,sars
6/24/2003,Mongolia,9,0,9,sars
6/24/2003,New Zealand,1,0,1,sars
6/24/2003,Philippines,14,2,12,sars
6/24/2003,Republic of Ireland,1,0,1,sars
6/24/2003,Republic of Korea,3,0,3,sars
6/24/2003,Romania,1,0,1,sars
6/24/2003,Russian Federation,1,0,0,sars
6/24/2003,Singapore,206,31,170,sars
6/24/2003,South Africa,1,1,0,sars
6/24/2003,Spain,1,0,1,sars
6/24/2003,Sweden,3,0,3,sars
6/24/2003,Switzerland,1,0,1,sars
6/24/2003,Thailand,9,2,7,sars
6/24/2003,United Kingdom,4,0,4,sars
6/24/2003,United States,75,0,36,sars
6/24/2003,Viet Nam,63,5,58,sars
6/25/2003,Brazil,3,0,2,sars
6/25/2003,Canada,250,37,188,sars
6/25/2003,China,5327,348,4916,sars
6/25/2003,"Hong Kong SAR, China",1755,296,1419,sars
6/25/2003,"Macao SAR, China",1,0,1,sars
6/25/2003,"Taiwan, China",686,84,492,sars
6/25/2003,Colombia,1,0,1,sars
6/25/2003,Finland,1,0,1,sars
6/25/2003,France,7,0,6,sars
6/25/2003,Germany,10,0,9,sars
6/25/2003,India,3,0,3,sars
6/25/2003,Indonesia,2,0,2,sars
6/25/2003,Italy,9,0,9,sars
6/25/2003,Japan,1,0,0,sars
6/25/2003,Kuwait,1,0,1,sars
6/25/2003,Malaysia,5,2,3,sars
6/25/2003,Mongolia,9,0,9,sars
6/25/2003,New Zealand,1,0,1,sars
6/25/2003,Philippines,14,2,12,sars
6/25/2003,Republic of Ireland,1,0,1,sars
6/25/2003,Republic of Korea,3,0,3,sars
6/25/2003,Romania,1,0,1,sars
6/25/2003,Russian Federation,1,0,0,sars
6/25/2003,Singapore,206,31,170,sars
6/25/2003,South Africa,1,1,0,sars
6/25/2003,Spain,1,0,1,sars
6/25/2003,Sweden,3,0,3,sars
6/25/2003,Switzerland,1,0,1,sars
6/25/2003,Thailand,9,2,7,sars
6/25/2003,United Kingdom,4,0,4,sars
6/25/2003,United States,75,0,36,sars
6/25/2003,Viet Nam,63,5,58,sars
6/26/2003,Brazil,3,0,2,sars
6/26/2003,Canada,251,37,190,sars
6/26/2003,China,5327,348,4921,sars
6/26/2003,"Hong Kong SAR, China",1755,296,1419,sars
6/26/2003,"Macao SAR, China",1,0,1,sars
6/26/2003,"Taiwan, China",682,84,491,sars
6/26/2003,Colombia,1,0,1,sars
6/26/2003,Finland,1,0,1,sars
6/26/2003,France,7,0,6,sars
6/26/2003,Germany,10,0,9,sars
6/26/2003,India,3,0,3,sars
6/26/2003,Indonesia,2,0,2,sars
6/26/2003,Italy,9,0,9,sars
6/26/2003,Japan,1,0,0,sars
6/26/2003,Kuwait,1,0,1,sars
6/26/2003,Malaysia,5,2,3,sars
6/26/2003,Mongolia,9,0,9,sars
6/26/2003,New Zealand,1,0,1,sars
6/26/2003,Philippines,14,2,12,sars
6/26/2003,Republic of Ireland,1,0,1,sars
6/26/2003,Republic of Korea,3,0,3,sars
6/26/2003,Romania,1,0,1,sars
6/26/2003,Russian Federation,1,0,0,sars
6/26/2003,Singapore,206,32,170,sars
6/26/2003,South Africa,1,1,0,sars
6/26/2003,Spain,1,0,1,sars
6/26/2003,Sweden,3,0,3,sars
6/26/2003,Switzerland,1,0,1,sars
6/26/2003,Thailand,9,2,7,sars
6/26/2003,United Kingdom,4,0,4,sars
6/26/2003,United States,74,0,36,sars
6/26/2003,Viet Nam,63,5,58,sars
6/27/2003,Brazil,3,0,2,sars
6/27/2003,Canada,251,37,191,sars
6/27/2003,China,5327,348,4921,sars
6/27/2003,"Hong Kong SAR, China",1755,297,1422,sars
6/27/2003,"Macao SAR, China",1,0,1,sars
6/27/2003,"Taiwan, China",681,84,492,sars
6/27/2003,Colombia,1,0,1,sars
6/27/2003,Finland,1,0,1,sars
6/27/2003,France,7,0,6,sars
6/27/2003,Germany,10,0,9,sars
6/27/2003,India,3,0,3,sars
6/27/2003,Indonesia,2,0,2,sars
6/27/2003,Italy,5,0,5,sars
6/27/2003,Kuwait,1,0,1,sars
6/27/2003,Malaysia,5,2,3,sars
6/27/2003,Mongolia,9,0,9,sars
6/27/2003,New Zealand,1,0,1,sars
6/27/2003,Philippines,14,2,12,sars
6/27/2003,Republic of Ireland,1,0,1,sars
6/27/2003,Republic of Korea,3,0,3,sars
6/27/2003,Romania,1,0,1,sars
6/27/2003,Russian Federation,1,0,0,sars
6/27/2003,Singapore,206,32,171,sars
6/27/2003,South Africa,1,1,0,sars
6/27/2003,Spain,1,0,1,sars
6/27/2003,Sweden,3,0,3,sars
6/27/2003,Switzerland,1,0,1,sars
6/27/2003,Thailand,9,2,7,sars
6/27/2003,United Kingdom,4,0,4,sars
6/27/2003,United States,74,0,64,sars
6/27/2003,Viet Nam,63,5,58,sars
6/30/2003,Australia,5,0,5,sars
6/30/2003,Brazil,3,0,2,sars
6/30/2003,Canada,252,37,192,sars
6/30/2003,China,5327,348,4927,sars
6/30/2003,"Hong Kong SAR, China",1755,298,1429,sars
6/30/2003,"Macao SAR, China",1,0,1,sars
6/30/2003,"Taiwan, China",678,84,495,sars
6/30/2003,Colombia,1,0,1,sars
6/30/2003,Finland,1,0,1,sars
6/30/2003,France,7,0,6,sars
6/30/2003,Germany,10,0,9,sars
6/30/2003,India,3,0,3,sars
6/30/2003,Indonesia,2,0,2,sars
6/30/2003,Italy,5,0,5,sars
6/30/2003,Kuwait,1,0,1,sars
6/30/2003,Malaysia,5,2,3,sars
6/30/2003,Mongolia,9,0,9,sars
6/30/2003,New Zealand,1,0,1,sars
6/30/2003,Philippines,14,2,12,sars
6/30/2003,Republic of Ireland,1,0,1,sars
6/30/2003,Republic of Korea,3,0,3,sars
6/30/2003,Romania,1,0,1,sars
6/30/2003,Russian Federation,1,0,0,sars
6/30/2003,Singapore,206,32,171,sars
6/30/2003,South Africa,1,1,0,sars
6/30/2003,Spain,1,0,1,sars
6/30/2003,Sweden,3,0,3,sars
6/30/2003,Switzerland,1,0,1,sars
6/30/2003,Thailand,9,2,7,sars
6/30/2003,United Kingdom,4,0,4,sars
6/30/2003,United States,73,0,63,sars
6/30/2003,Viet Nam,63,5,58,sars
7/1/2003,Brazil,1,0,1,sars
7/1/2003,Canada,252,38,192,sars
7/1/2003,China,5327,348,4930,sars
7/1/2003,"Hong Kong SAR, China",1755,298,1429,sars
7/1/2003,"Macao SAR, China",1,0,1,sars
7/1/2003,"Taiwan, China",678,84,498,sars
7/1/2003,Colombia,1,0,1,sars
7/1/2003,Finland,1,0,1,sars
7/1/2003,France,7,0,6,sars
7/1/2003,Germany,10,0,9,sars
7/1/2003,India,3,0,3,sars
7/1/2003,Indonesia,2,0,2,sars
7/1/2003,Italy,5,0,5,sars
7/1/2003,Kuwait,1,0,1,sars
7/1/2003,Malaysia,5,2,3,sars
7/1/2003,Mongolia,9,0,9,sars
7/1/2003,New Zealand,1,0,1,sars
7/1/2003,Philippines,14,2,12,sars
7/1/2003,Republic of Ireland,1,0,1,sars
7/1/2003,Republic of Korea,3,0,3,sars
7/1/2003,Romania,1,0,1,sars
7/1/2003,Russian Federation,1,0,0,sars
7/1/2003,Singapore,206,32,171,sars
7/1/2003,South Africa,1,1,0,sars
7/1/2003,Spain,1,0,1,sars
7/1/2003,Sweden,3,0,3,sars
7/1/2003,Switzerland,1,0,1,sars
7/1/2003,Thailand,9,2,7,sars
7/1/2003,United Kingdom,4,0,4,sars
7/1/2003,United States,73,0,63,sars
7/1/2003,Viet Nam,63,5,58,sars
7/2/2003,Brazil,1,0,1,sars
7/2/2003,Canada,252,38,192,sars
7/2/2003,China,5327,348,4933,sars
7/2/2003,"Hong Kong SAR, China",1755,298,1429,sars
7/2/2003,"Macao SAR, China",1,0,1,sars
7/2/2003,"Taiwan, China",676,84,498,sars
7/2/2003,Colombia,1,0,1,sars
7/2/2003,Finland,1,0,1,sars
7/2/2003,France,7,0,6,sars
7/2/2003,Germany,10,0,9,sars
7/2/2003,India,3,0,3,sars
7/2/2003,Indonesia,2,0,2,sars
7/2/2003,Italy,4,0,4,sars
7/2/2003,Kuwait,1,0,1,sars
7/2/2003,Malaysia,5,2,3,sars
7/2/2003,Mongolia,9,0,9,sars
7/2/2003,New Zealand,1,0,1,sars
7/2/2003,Philippines,14,2,12,sars
7/2/2003,Republic of Ireland,1,0,1,sars
7/2/2003,Republic of Korea,3,0,3,sars
7/2/2003,Romania,1,0,1,sars
7/2/2003,Russian Federation,1,0,0,sars
7/2/2003,Singapore,206,32,171,sars
7/2/2003,South Africa,1,1,0,sars
7/2/2003,Spain,1,0,1,sars
7/2/2003,Sweden,3,0,3,sars
7/2/2003,Switzerland,1,0,1,sars
7/2/2003,Thailand,9,2,7,sars
7/2/2003,United Kingdom,4,0,4,sars
7/2/2003,United States,73,0,63,sars
7/2/2003,Viet Nam,63,5,58,sars
7/3/2003,Brazil,1,0,1,sars
7/3/2003,Canada,251,38,193,sars
7/3/2003,China,5327,348,4933,sars
7/3/2003,"Hong Kong SAR, China",1755,298,1429,sars
7/3/2003,"Macao SAR, China",1,0,1,sars
7/3/2003,"Taiwan, China",674,84,498,sars
7/3/2003,Colombia,1,0,1,sars
7/3/2003,Finland,1,0,1,sars
7/3/2003,France,7,0,6,sars
7/3/2003,Germany,10,0,9,sars
7/3/2003,India,3,0,3,sars
7/3/2003,Indonesia,2,0,2,sars
7/3/2003,Italy,4,0,4,sars
7/3/2003,Kuwait,1,0,1,sars
7/3/2003,Malaysia,5,2,3,sars
7/3/2003,Mongolia,9,0,9,sars
7/3/2003,New Zealand,1,0,1,sars
7/3/2003,Philippines,14,2,12,sars
7/3/2003,Republic of Ireland,1,0,1,sars
7/3/2003,Republic of Korea,3,0,3,sars
7/3/2003,Romania,1,0,1,sars
7/3/2003,Russian Federation,1,0,0,sars
7/3/2003,Singapore,206,32,171,sars
7/3/2003,South Africa,1,1,0,sars
7/3/2003,Spain,1,0,1,sars
7/3/2003,Sweden,3,0,3,sars
7/3/2003,Switzerland,1,0,1,sars
7/3/2003,Thailand,9,2,7,sars
7/3/2003,United Kingdom,4,0,4,sars
7/3/2003,United States,73,0,65,sars
7/3/2003,Viet Nam,63,5,58,sars
7/4/2003,Brazil,1,0,1,sars
7/4/2003,Canada,251,38,193,sars
7/4/2003,China,5327,348,4934,sars
7/4/2003,"Hong Kong SAR, China",1755,298,1430,sars
7/4/2003,"Macao SAR, China",1,0,1,sars
7/4/2003,"Taiwan, China",674,84,500,sars
7/4/2003,Colombia,1,0,1,sars
7/4/2003,Finland,1,0,1,sars
7/4/2003,France,7,0,6,sars
7/4/2003,Germany,10,0,9,sars
7/4/2003,India,3,0,3,sars
7/4/2003,Indonesia,2,0,2,sars
7/4/2003,Italy,4,0,4,sars
7/4/2003,Kuwait,1,0,1,sars
7/4/2003,Malaysia,5,2,3,sars
7/4/2003,Mongolia,9,0,9,sars
7/4/2003,New Zealand,1,0,1,sars
7/4/2003,Philippines,14,2,12,sars
7/4/2003,Republic of Ireland,1,0,1,sars
7/4/2003,Republic of Korea,3,0,3,sars
7/4/2003,Romania,1,0,1,sars
7/4/2003,Russian Federation,1,0,0,sars
7/4/2003,Singapore,206,32,171,sars
7/4/2003,South Africa,1,1,0,sars
7/4/2003,Spain,1,0,1,sars
7/4/2003,Sweden,3,0,3,sars
7/4/2003,Switzerland,1,0,1,sars
7/4/2003,Thailand,9,2,7,sars
