Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths",Tpye 
Guinea,7/17/2015,10,450,3310,3770,,450,2059,2509,Ebola
Italy,7/17/2015,0,0,1,1,,,,0,Ebola
Nigeria,7/17/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/17/2015,,1,6,7,,,2,2,Ebola
Mali,7/17/2015,0,1,7,8,,,,6,Ebola
Spain,7/17/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,7/17/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,7/17/2015,4234,287,8688,13209,158,208,3581,3947,Ebola
Nigeria,7/20/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/20/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,7/20/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,7/20/2015,12,450,3322,3784,,450,2061,2511,Ebola
United Kingdom,7/20/2015,0,0,1,1,,,,0,Ebola
United States of America,7/20/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/20/2015,,1,6,7,,,2,2,Ebola
Italy,7/20/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,7/20/2015,4262,287,8692,13241,158,208,3583,3949,Ebola
Mali,7/20/2015,0,1,7,8,,,,6,Ebola
Spain,7/20/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/21/2015,,1,6,7,,,2,2,Ebola
Guinea,7/21/2015,11,450,3322,3783,,450,2062,2512,Ebola
United States of America,7/21/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,7/21/2015,4271,287,8692,13250,158,208,3583,3949,Ebola
United Kingdom,7/21/2015,0,0,1,1,,,,0,Ebola
Spain,7/21/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/21/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,7/21/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/21/2015,0,1,7,8,,,,6,Ebola
Nigeria,7/21/2015,0,1,19,20,0,1,7,8,Ebola
Italy,7/21/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,7/22/2015,4271,287,8692,13250,158,208,3583,3949,Ebola
Spain,7/22/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,7/22/2015,11,450,3322,3783,,450,2062,2512,Ebola
Nigeria,7/22/2015,0,1,19,20,0,1,7,8,Ebola
Italy,7/22/2015,0,0,1,1,,,,0,Ebola
Liberia,7/22/2015,,0,6,6,,,2,2,Ebola
Senegal,7/22/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,7/22/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/22/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,7/22/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/22/2015,0,0,1,1,,,,0,Ebola
United States of America,7/23/2015,0,0,4,4,0,0,1,1,Ebola
Spain,7/23/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,7/23/2015,4282,287,8693,13262,158,208,3583,3949,Ebola
Guinea,7/23/2015,13,450,3325,3788,,450,2066,2516,Ebola
Liberia,7/23/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,7/23/2015,0,0,1,1,,,,0,Ebola
Nigeria,7/23/2015,0,1,19,20,0,1,7,8,Ebola
Mali,7/23/2015,0,1,7,8,,,,6,Ebola
Senegal,7/23/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/23/2015,,1,6,7,,,2,2,Ebola
Italy,7/23/2015,0,0,1,1,,,,0,Ebola
United States of America,7/24/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/24/2015,,1,6,7,,,2,2,Ebola
Mali,7/24/2015,0,1,7,8,,,,6,Ebola
Liberia,7/24/2015,5636,1879,3151,10666,,,,4806,Ebola
Sierra Leone,7/24/2015,4284,287,8693,13264,158,208,3583,3949,Ebola
Italy,7/24/2015,0,0,1,1,,,,0,Ebola
Senegal,7/24/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,7/24/2015,11,451,3325,3787,,451,2066,2517,Ebola
Nigeria,7/24/2015,0,1,19,20,0,1,7,8,Ebola
Spain,7/24/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,7/24/2015,0,0,1,1,,,,0,Ebola
Spain,7/27/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/27/2015,0,1,7,8,,,,6,Ebola
Senegal,7/27/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,7/27/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/27/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,7/27/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,7/27/2015,16,451,3325,3792,,451,2068,2519,Ebola
United Kingdom,7/27/2015,0,0,1,1,,,,0,Ebola
Italy,7/27/2015,0,0,1,1,,,,0,Ebola
Liberia,7/27/2015,,1,6,7,,,2,2,Ebola
Sierra Leone,7/27/2015,4302,287,8694,13283,158,208,3585,3951,Ebola
United States of America,7/28/2015,0,0,4,4,0,0,1,1,Ebola
Spain,7/28/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/28/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/28/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,7/28/2015,4309,287,8694,13290,158,208,3585,3951,Ebola
Guinea,7/28/2015,9,451,3326,3786,,451,2069,2520,Ebola
Nigeria,7/28/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,7/28/2015,0,0,1,1,0,0,0,0,Ebola
Italy,7/28/2015,0,0,1,1,,,,0,Ebola
Liberia,7/28/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,7/28/2015,,1,6,7,,,2,2,Ebola
Nigeria,7/29/2015,0,1,19,20,0,1,7,8,Ebola
Sierra Leone,7/29/2015,4309,287,8694,13290,158,208,3585,3951,Ebola
Liberia,7/29/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,7/29/2015,0,0,4,4,0,0,1,1,Ebola
Senegal,7/29/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/29/2015,,0,6,6,,,2,2,Ebola
Spain,7/29/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/29/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/29/2015,0,0,1,1,,,,0,Ebola
Italy,7/29/2015,0,0,1,1,,,,0,Ebola
Guinea,7/29/2015,9,451,3326,3786,,451,2069,2520,Ebola
Guinea,7/30/2015,7,452,3326,3785,,452,2069,2521,Ebola
Senegal,7/30/2015,0,0,1,1,0,0,0,0,Ebola
Spain,7/30/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/30/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/30/2015,4398,287,8694,13379,158,208,3585,3951,Ebola
Nigeria,7/30/2015,0,1,19,20,0,1,7,8,Ebola
Italy,7/30/2015,0,0,1,1,,,,0,Ebola
United States of America,7/30/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/30/2015,,0,6,6,,,2,2,Ebola
United Kingdom,7/30/2015,0,0,1,1,,,,0,Ebola
Liberia,7/30/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,7/31/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,7/31/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,7/31/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/31/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,7/31/2015,4406,287,8694,13387,158,208,3585,3951,Ebola
United Kingdom,7/31/2015,0,0,1,1,,,,0,Ebola
